h,a,y,relative_error
4,2.02814e0,1.583562091655995904251632626102898021703623286123008631122948385180216237842397249787825072032322941386355151189108066217866376284882496022472987335105e-5,1.00051e-16
4,2.28601e0,1.583562091655996062672681712745399610833021516174398787971122557616194827292657110962514467848124731307730957249682955110609403858998251098073304945646e-5,1.00129e-20
4,2.51892e0,1.583562091655996062688536250628982491221130061815202745888290975893006579723593802780370809196823952664545232195303079243981409434997796361611329990938e-5,1.00121e-24
4,2.73291e0,1.583562091655996062688537835949130476824095786151539063298676405087077757345169037216692568159195924410058455051542488177621244401803378568914006217233e-5,1.00049e-28
4,2.93188e0,1.583562091655996062688537836107549069186851977654987252310772520022066109583014382932037494859332359107689283720503834089273009597945302438242359789707e-5,1.00110e-32
4,3.11865e0,1.583562091655996062688537836107564920607911579946872928174283943223359854359359394530479325781447867927180875724416812189344672181549624462106910225729e-5,1.00012e-36
4,3.29511e0,1.583562091655996062688537836107564922191509936185836228888735370630078650440469680734476919983297909184055400894846711904797393876118076535544941164966e-5,1.00304e-40
4.25,1.30848e0,5.34426283400113649659314168738221412278656750278348443590569601763146991440430321853509709810261137952229028311843446738758189024053035743735401529364e-6,1.00044e-8
4.25,1.63574e0,5.344262887461859735092422236553658660852662644631624859766487690676840772987106533295338320796537676994050316172099763857411935797405527049549382341908e-6,1.00117e-12
4.25,1.91136e0,5.344262887467209699501891010933098166609226495055570506207063394214947831180962405399754051316587105233590437988404192254578899464433730756718128275459e-6,1.00126e-16
4.25,2.15395e0,5.344262887467210234546832347521104812485656715175395689714377781081961261466441314336250277232810675579543090863450984865695773939328440755034656344741e-6,1.00007e-20
4.25,2.37299e0,5.344262887467210234600273555600810269630122406015350546291390348764530089712985585581021255973746035634230305998152246108470068384449441305310715649184e-6,1.00122e-24
4.25,2.57428e0,5.344262887467210234600278905826084600350382735316732875453596367295394092630491611927222528356150118842601236064197105328531529665812793399890955226564e-6,1.00019e-28
4.25,2.76143e0,5.344262887467210234600278906360560993127210752016181197706176989181459060918565685465819260746704304084613816985033747932458278454319826803982296179301e-6,1.00129e-32
4.25,2.93710e0,5.344262887467210234600278906360614499587241700277709739191166924420413744588037542515502661466846148425721118370062889843669956247810017529923415557273e-6,1.00161e-36
4.25,3.10317e0,5.344262887467210234600278906360614504939553375894209277032274170461729872850610516355683475223829742593137798361670003664196109466322304830809077817508e-6,1.00002e-40
